=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.23 11:33:07 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
IR,Red,(approx. 2 minutes of readings),,,"(test data only, data filtering/amplification may need tweaking)"
67662,72714,,,,
67662,72701,,,,
67673,72720,,,,
67678,72727,,,,
67678,72726,,,,
67688,72752,,,,
67665,72742,,,,
67685,72735,,,,
67687,72743,,,,
67707,72750,,,,
67690,72746,,,,
67693,72758,,,,
67702,72736,,,,
67691,72741,,,,
67704,72730,,,,
67686,72727,,,,
67686,72721,,,,
67683,72717,,,,
67709,72718,,,,
67701,72736,,,,
67688,72725,,,,
67703,72745,,,,
67686,72751,,,,
67670,72766,,,,
67690,72748,,,,
67670,72761,,,,
67683,72770,,,,
67701,72779,,,,
67699,72780,,,,
67696,72773,,,,
67698,72774,,,,
67688,72775,,,,
67699,72761,,,,
67710,72755,,,,
67697,72763,,,,
67707,72772,,,,
67729,72772,,,,
67703,72768,,,,
67697,72773,,,,
67704,72756,,,,
67691,72760,,,,
67693,72762,,,,
67710,72769,,,,
67692,72790,,,,
67686,72773,,,,
67701,72774,,,,
67686,72787,,,,
67680,72803,,,,
67695,72805,,,,
67694,72803,,,,
67718,72812,,,,
67708,72808,,,,
67720,72792,,,,
67711,72798,,,,
67711,72794,,,,
67708,72807,,,,
67709,72785,,,,
67721,72787,,,,
67720,72819,,,,
67705,72788,,,,
67708,72809,,,,
67685,72781,,,,
67693,72774,,,,
67694,72797,,,,
67679,72771,,,,
67697,72782,,,,
67712,72786,,,,
67719,72804,,,,
67710,72814,,,,
67708,72799,,,,
67703,72817,,,,
67684,72803,,,,
67717,72825,,,,
67691,72815,,,,
67737,72809,,,,
67707,72832,,,,
67710,72829,,,,
67704,72822,,,,
67731,72811,,,,
67742,72830,,,,
67729,72823,,,,
67709,72825,,,,
67722,72821,,,,
67697,72818,,,,
67714,72835,,,,
67714,72830,,,,
67725,72808,,,,
67694,72827,,,,
67701,72836,,,,
67697,72818,,,,
67696,72832,,,,
67699,72835,,,,
67693,72843,,,,
67705,72835,,,,
67705,72862,,,,
67716,72869,,,,
67728,72853,,,,
67726,72841,,,,
67724,72828,,,,
67742,72834,,,,
67718,72842,,,,
67731,72843,,,,
67728,72843,,,,
67713,72844,,,,
67714,72841,,,,
67699,72859,,,,
67740,72849,,,,
67709,72850,,,,
67730,72845,,,,
67713,72844,,,,
67715,72856,,,,
67707,72848,,,,
67699,72866,,,,
67716,72869,,,,
67721,72873,,,,
67715,72863,,,,
67737,72873,,,,
67723,72867,,,,
67726,72879,,,,
67726,72881,,,,
67740,72859,,,,
67743,72876,,,,
67760,72864,,,,
67726,72855,,,,
67710,72871,,,,
67735,72859,,,,
67720,72858,,,,
67722,72848,,,,
67730,72882,,,,
67730,72844,,,,
67727,72880,,,,
67734,72864,,,,
67728,72864,,,,
67715,72857,,,,
67712,72868,,,,
67713,72904,,,,
67725,72875,,,,
67726,72910,,,,
67744,72880,,,,
67712,72870,,,,
67725,72852,,,,
67733,72877,,,,
67733,72854,,,,
67751,72860,,,,
67741,72843,,,,
67727,72825,,,,
67702,72829,,,,
67706,72823,,,,
67700,72812,,,,
67696,72782,,,,
67699,72765,,,,
67681,72779,,,,
67675,72762,,,,
67659,72765,,,,
67676,72736,,,,
67670,72742,,,,
67661,72724,,,,
67653,72723,,,,
67651,72721,,,,
67626,72734,,,,
67642,72692,,,,
67658,72685,,,,
67651,72670,,,,
67648,72652,,,,
67645,72641,,,,
67638,72639,,,,
67627,72619,,,,
67625,72613,,,,
67623,72620,,,,
67625,72615,,,,
67622,72611,,,,
67612,72598,,,,
67632,72612,,,,
67629,72594,,,,
67611,72598,,,,
67635,72597,,,,
67610,72607,,,,
67626,72609,,,,
67602,72620,,,,
67627,72616,,,,
67631,72588,,,,
67608,72604,,,,
67620,72601,,,,
67615,72608,,,,
67649,72586,,,,
67635,72591,,,,
67629,72596,,,,
67617,72581,,,,
67623,72607,,,,
67620,72584,,,,
67603,72596,,,,
67624,72576,,,,
67617,72581,,,,
67630,72598,,,,
67603,72582,,,,
67634,72578,,,,
67620,72593,,,,
67609,72596,,,,
67593,72605,,,,
67614,72620,,,,
67611,72619,,,,
67624,72620,,,,
67611,72607,,,,
67599,72600,,,,
67616,72615,,,,
67629,72592,,,,
67630,72601,,,,
67627,72603,,,,
67638,72599,,,,
67629,72604,,,,
67629,72602,,,,
67616,72616,,,,
67603,72587,,,,
67619,72581,,,,
67612,72599,,,,
67613,72596,,,,
67624,72611,,,,
67629,72585,,,,
67612,72598,,,,
67594,72619,,,,
67599,72616,,,,
67613,72618,,,,
67615,72618,,,,
67640,72602,,,,
67637,72623,,,,
67624,72639,,,,
67616,72621,,,,
67643,72616,,,,
67635,72609,,,,
67629,72627,,,,
67632,72623,,,,
67618,72608,,,,
67628,72613,,,,
67624,72588,,,,
67621,72634,,,,
67619,72616,,,,
67651,72616,,,,
67631,72608,,,,
67625,72612,,,,
67619,72637,,,,
67628,72627,,,,
67634,72640,,,,
67643,72641,,,,
67625,72654,,,,
67641,72653,,,,
67632,72650,,,,
67622,72651,,,,
67636,72654,,,,
67644,72649,,,,
67648,72657,,,,
67656,72641,,,,
67638,72654,,,,
67642,72642,,,,
67615,72637,,,,
67633,72653,,,,
67658,72658,,,,
67635,72630,,,,
67627,72639,,,,
67632,72642,,,,
67630,72627,,,,
67623,72646,,,,
67620,72659,,,,
67636,72658,,,,
67661,72658,,,,
67632,72672,,,,
67625,72666,,,,
67639,72680,,,,
67650,72648,,,,
67635,72670,,,,
67631,72646,,,,
67661,72656,,,,
67643,72657,,,,
67646,72659,,,,
67640,72650,,,,
67645,72648,,,,
67629,72644,,,,
67631,72654,,,,
67634,72653,,,,
67634,72648,,,,
67634,72624,,,,
67630,72649,,,,
67634,72660,,,,
67645,72670,,,,
67618,72652,,,,
67645,72689,,,,
67632,72668,,,,
67653,72664,,,,
67648,72664,,,,
67645,72656,,,,
67644,72662,,,,
67641,72648,,,,
67622,72649,,,,
67638,72637,,,,
67625,72647,,,,
67651,72660,,,,
67648,72653,,,,
67644,72670,,,,
67652,72648,,,,
67642,72661,,,,
67625,72656,,,,
67641,72666,,,,
67631,72671,,,,
67640,72676,,,,
67628,72678,,,,
67648,72680,,,,
67640,72679,,,,
67651,72689,,,,
67654,72677,,,,
67649,72672,,,,
67665,72678,,,,
67625,72688,,,,
67638,72689,,,,
67635,72661,,,,
67647,72665,,,,
67643,72675,,,,
67640,72681,,,,
67645,72679,,,,
67653,72689,,,,
67649,72717,,,,
67632,72687,,,,
67634,72701,,,,
67649,72704,,,,
67659,72709,,,,
67661,72705,,,,
67656,72726,,,,
67664,72691,,,,
67661,72687,,,,
67683,72692,,,,
67642,72707,,,,
67650,72695,,,,
67647,72709,,,,
67652,72706,,,,
67670,72717,,,,
67638,72680,,,,
67678,72705,,,,
67656,72702,,,,
67667,72717,,,,
67649,72717,,,,
67642,72736,,,,
67657,72739,,,,
67663,72750,,,,
67655,72747,,,,
67672,72756,,,,
67666,72739,,,,
67668,72708,,,,
67667,72722,,,,
67657,72738,,,,
67678,72726,,,,
67675,72741,,,,
67665,72736,,,,
67674,72698,,,,
67649,72730,,,,
67657,72723,,,,
67658,72731,,,,
67667,72738,,,,
67663,72739,,,,
67661,72741,,,,
67646,72742,,,,
67650,72729,,,,
67653,72747,,,,
67667,72746,,,,
67665,72745,,,,
67661,72767,,,,
67659,72765,,,,
67661,72767,,,,
67673,72770,,,,
67690,72786,,,,
67694,72759,,,,
67671,72760,,,,
67690,72759,,,,
67692,72762,,,,
67670,72773,,,,
67670,72752,,,,
67664,72753,,,,
67685,72766,,,,
67676,72770,,,,
67680,72771,,,,
67662,72779,,,,
67665,72757,,,,
67670,72767,,,,
67664,72796,,,,
67670,72774,,,,
67670,72795,,,,
67680,72794,,,,
67678,72820,,,,
67680,72788,,,,
67673,72790,,,,
67696,72782,,,,
67700,72794,,,,
67686,72771,,,,
67695,72788,,,,
67689,72791,,,,
67683,72808,,,,
67683,72803,,,,
67669,72797,,,,
67674,72787,,,,
67668,72800,,,,
67682,72808,,,,
67685,72806,,,,
67659,72798,,,,
67676,72819,,,,
67689,72823,,,,
67692,72815,,,,
67675,72830,,,,
67704,72816,,,,
67697,72829,,,,
67708,72823,,,,
67697,72808,,,,
67698,72818,,,,
67690,72830,,,,
67694,72810,,,,
67677,72802,,,,
67693,72813,,,,
67691,72803,,,,
67689,72800,,,,
67698,72812,,,,
67693,72819,,,,
67693,72826,,,,
67680,72819,,,,
67685,72835,,,,
67678,72837,,,,
67666,72846,,,,
67689,72844,,,,
67702,72857,,,,
67690,72854,,,,
67718,72836,,,,
67701,72819,,,,
67701,72836,,,,
67695,72854,,,,
67738,72840,,,,
67701,72834,,,,
67704,72830,,,,
67707,72843,,,,
67689,72835,,,,
67680,72835,,,,
67683,72843,,,,
67698,72824,,,,
67686,72833,,,,
67695,72827,,,,
67680,72863,,,,
67690,72852,,,,
67677,72866,,,,
67707,72849,,,,
67716,72875,,,,
67720,72876,,,,
67716,72857,,,,
67696,72859,,,,
67710,72848,,,,
67721,72848,,,,
67724,72870,,,,
67680,72865,,,,
67707,72861,,,,
67705,72870,,,,
67702,72875,,,,
67701,72862,,,,
67707,72877,,,,
67709,72873,,,,
67717,72864,,,,
67697,72863,,,,
67711,72864,,,,
67695,72883,,,,
67686,72856,,,,
67692,72889,,,,
67689,72879,,,,
67698,72890,,,,
67697,72891,,,,
67703,72897,,,,
67713,72903,,,,
67706,72892,,,,
67713,72892,,,,
67714,72897,,,,
67713,72888,,,,
67714,72879,,,,
67699,72877,,,,
67703,72886,,,,
67703,72895,,,,
67705,72874,,,,
67705,72863,,,,
67706,72881,,,,
67723,72877,,,,
67713,72876,,,,
67710,72885,,,,
67707,72913,,,,
67701,72895,,,,
67716,72907,,,,
67719,72897,,,,
67716,72909,,,,
67716,72892,,,,
67720,72904,,,,
67718,72898,,,,
67733,72864,,,,
67715,72886,,,,
67741,72876,,,,
67720,72867,,,,
67725,72863,,,,
67706,72876,,,,
67693,72850,,,,
67681,72822,,,,
67677,72832,,,,
67684,72799,,,,
67651,72802,,,,
67675,72783,,,,
67652,72781,,,,
67660,72786,,,,
67645,72761,,,,
67647,72776,,,,
67638,72756,,,,
67664,72742,,,,
67647,72733,,,,
67628,72719,,,,
67650,72693,,,,
67645,72689,,,,
67642,72702,,,,
67644,72668,,,,
67628,72670,,,,
67616,72653,,,,
67619,72663,,,,
67624,72643,,,,
67612,72643,,,,
